Audios:	Translation	Gender:
/content/drive/MyDrive/dataset/clips/1.wav	مجھے یہ سبجیکٹ بہت پسند ہے	Male
/content/drive/MyDrive/dataset/clips/2.wav	بینکرزلوگوں کا پیسہ محفوظ رکھتے ہیں	Male
/content/drive/MyDrive/dataset/clips/3.wav	یہ لواس میں تمہاری چیک بک ہے	Male
/content/drive/MyDrive/dataset/clips/4.wav	یہ سارا اہتمام شادی کے لئے ہے	Male
/content/drive/MyDrive/dataset/clips/5.wav	اگر یہ دنیا میری ہوتی تو میں تمہیں دے دیتا	Male
/content/drive/MyDrive/dataset/clips/6.wav	اتنی زیادہ رقم ملے گی	Male
/content/drive/MyDrive/dataset/clips/7.wav	یہ میری سیونگز ہیں	Male
/content/drive/MyDrive/dataset/clips/8.wav	أمامہ ہم کل کراچی جا رہے ہیں	Male
/content/drive/MyDrive/dataset/clips/9.wav	تمہیں ساتھ لے کر آنے سے مجھے اچھا لگ رہا ہے	Male
/content/drive/MyDrive/dataset/clips/10.wav	میں نے سوچا کے ہوٹل میں ٹھہرے گے 	Male
/content/drive/MyDrive/dataset/clips/11.wav	وہ بہت خوش ہے اس لئے میں بھی خوش ہوں	Male
/content/drive/MyDrive/dataset/clips/12.wav	بوندا باری ہو رہی ہے	Male
/content/drive/MyDrive/dataset/clips/13.wav	اس کو مجھ سے ہمدردی ہے	Male
/content/drive/MyDrive/dataset/clips/14.wav	میں ہماری گفتگو سے لطف اندوز ہوا	Male
/content/drive/MyDrive/dataset/clips/15.wav	یار میرا کام تو بن گیا ہے 	Male
/content/drive/MyDrive/dataset/clips/16.wav	آپ کے ساتھ ہونا ہی میری پسندیدہ جگہ ہے 	Male
/content/drive/MyDrive/dataset/clips/17.wav	مجھے ہمیشہ سے اس کو دیکھ کر فرحت ہوئی ہے	Male
/content/drive/MyDrive/dataset/clips/18.wav	مجھے خوشی ہے کہ وہ بھی یہاں ہوں گے	Male
/content/drive/MyDrive/dataset/clips/19.wav	پھول بھی خوشی دیتے ہیں	Male
/content/drive/MyDrive/dataset/clips/20.wav	مبارک ہو ہم میچ جیت گئے	Male
/content/drive/MyDrive/dataset/clips/21.wav	اتنے عرصے بعد تمہیں دیکھ کر خوشی ہوئی	Female
/content/drive/MyDrive/dataset/clips/22.wav	یہ میری زندگی کا سب سے خوبصورت دن ہے	Female
/content/drive/MyDrive/dataset/clips/23.wav	بارش مجھے بہت پسند ہے 	Female
/content/drive/MyDrive/dataset/clips/24.wav	خوبصورت گفٹ کے لیے شکریہ	Female
/content/drive/MyDrive/dataset/clips/25.wav	میں کچھ دنوں تک بالکل ٹھیک ہو جاؤگی	Female
/content/drive/MyDrive/dataset/clips/26.wav	آپ کو شادی کی بہت بہت مبارک ہو 	Female
/content/drive/MyDrive/dataset/clips/27.wav	مجھے آپ کی کامیابی دیکھ کر بہت خوشی ملی	Female
/content/drive/MyDrive/dataset/clips/28.wav	میں خالہ کے گھر جانے کی تیاری کر رہی ہوں	Female
/content/drive/MyDrive/dataset/clips/29.wav	آپ سے مل کر پریشانی دور ہو گئی	Female
/content/drive/MyDrive/dataset/clips/30.wav	اس کے پاس پیسے نہیں تھے اس لیے میں نےبل دے دیا 	Female
/content/drive/MyDrive/dataset/clips/31.wav	تم نے کیا جادو کیا ہوا ہے مجھ پہ	Male
/content/drive/MyDrive/dataset/clips/32.wav	وہ میرے ساتھ خوش ہے اور میں اس کے ساتھ خوش ہوں 	Male
/content/drive/MyDrive/dataset/clips/33.wav	مجھے سب کھانے پسند ہیں	Male
/content/drive/MyDrive/dataset/clips/34.wav	ٹھیک ہے مجھے سن کر خوشی ہوئی	Male
/content/drive/MyDrive/dataset/clips/35.wav	میں بھی ساتھ جانے کے لئے تیار ہوں	Male
/content/drive/MyDrive/dataset/clips/36.wav	تو تم یہ قربانی دینے کے لیے تیار ہواچھا ہے	Male
/content/drive/MyDrive/dataset/clips/37.wav	وہاں ویسے بھی تعلیم کے لئے وقت کم لگے گا تو میں وہاں ہی جاؤں گا	Male
/content/drive/MyDrive/dataset/clips/38.wav	اس کے گانےبہت اچھے ہیں	Male
/content/drive/MyDrive/dataset/clips/39.wav	میں بھی شکر ادا کروں گا کہ وہاں جاؤں	Male
/content/drive/MyDrive/dataset/clips/40.wav	مجھے بھی اچھا خواب آیا تھا	Male
/content/drive/MyDrive/dataset/clips/41.wav	میرا چہرہ خوشی سے لال ہے 	Female
/content/drive/MyDrive/dataset/clips/42.wav	میں اپنی زندگی کے لیے شکر گزار ہوں	Female
/content/drive/MyDrive/dataset/clips/43.wav	آج کا دن بہت خوش نما ہے	Female
/content/drive/MyDrive/dataset/clips/44.wav	زندگی اچھی ہے اور میں خوش ہوں 	Female
/content/drive/MyDrive/dataset/clips/45.wav	اچھا وقت زندگی خوبصورت بنا تاہے	Female
/content/drive/MyDrive/dataset/clips/46.wav	میرا دل خوشی سے بھر گیا 	Female
/content/drive/MyDrive/dataset/clips/47.wav	تمہیں دیکھ کر بہت اچھا لگا	Female
/content/drive/MyDrive/dataset/clips/48.wav	میں خوشی سے جھوم رہا ہوں	Female
/content/drive/MyDrive/dataset/clips/49.wav	ہر دن خوشی کا دن ہے اور میں اس خوشی سے بھر رہا ہوں	Female
/content/drive/MyDrive/dataset/clips/50.wav	میں آج بادلوں میں سفر کر رہا ہوں	Female
/content/drive/MyDrive/dataset/clips/51.wav	 میں آج بہت خوش ہوں 	Male
/content/drive/MyDrive/dataset/clips/52.wav	مجھے تم سے بات کر کے بہت اچھا لگتا ہے 	Male
/content/drive/MyDrive/dataset/clips/53.wav	تم میرے لیے خاص ہو 	Male
/content/drive/MyDrive/dataset/clips/54.wav	خوشی سے میرا دل باغ باغ ہو گیا 	Male
/content/drive/MyDrive/dataset/clips/55.wav	کامیابی آپ کے قدم چومے 	Male
/content/drive/MyDrive/dataset/clips/56.wav	 نیا سال بہت مبارک ہو 	Male
/content/drive/MyDrive/dataset/clips/57.wav	آپ کی دعوت کا شکریہ 	Male
/content/drive/MyDrive/dataset/clips/58.wav	اللہ آپ کو چاند سا بیٹا دے 	Male
/content/drive/MyDrive/dataset/clips/59.wav	مجھے امید ہے ہم جیت جائیں گے	Male
/content/drive/MyDrive/dataset/clips/60.wav	 میں آزاد ملک میں پیدا ہونے پر اچھا محسوس کرتا ہوں 	Male
/content/drive/MyDrive/dataset/clips/61.wav	آج کیا ہی اچھا موسم ہے 	Female
/content/drive/MyDrive/dataset/clips/62.wav	میرا بھائی ڈاکٹر بن گیا	Female
/content/drive/MyDrive/dataset/clips/63.wav	 آج ہمیں چھٹی ہے 	Female
/content/drive/MyDrive/dataset/clips/64.wav	میں اس تعفی پر بہت شکر گزار ہوں 	Female
/content/drive/MyDrive/dataset/clips/65.wav	اللہ کرے یہ دن بار بار آئے 	Female
/content/drive/MyDrive/dataset/clips/66.wav	پیپرز کے بعد مکمل سکون ملتا ہے	Female
/content/drive/MyDrive/dataset/clips/67.wav	 آج میں بہت اچھی لگ رہی ہو	Female
/content/drive/MyDrive/dataset/clips/68.wav	 خوش رہیں 	Female
/content/drive/MyDrive/dataset/clips/69.wav	قسمت بھی آپ کا ساتھ دے رہی ہے	Female
/content/drive/MyDrive/dataset/clips/70.wav	 یہ میری باعث مسرت ہے 	Female
/content/drive/MyDrive/dataset/clips/71.wav	میرے پاس کافی پیسہ	Male
/content/drive/MyDrive/dataset/clips/72.wav	 ہے دوبارہ ملاقات ہوگی 	Male
/content/drive/MyDrive/dataset/clips/73.wav	یار میرا کام تو ہو گیا ہے	Male
/content/drive/MyDrive/dataset/clips/74.wav	 دل کو دل سے راہ ہوتی ہے	Male
/content/drive/MyDrive/dataset/clips/75.wav	 آپ نے مجھے عزت بخشی 	Male
/content/drive/MyDrive/dataset/clips/76.wav	آپ کی آنکھیں بہت پیاری ہیں 	Male
/content/drive/MyDrive/dataset/clips/77.wav	آپ کی تعریف کرنے کے لئےمیرے پاس الفاظ نہیں ہے 	Male
/content/drive/MyDrive/dataset/clips/78.wav	تم کھلے دل کے مالک ہو 	Male
/content/drive/MyDrive/dataset/clips/79.wav	تم سب کے دلوں پر راج کرتے ہو 	Male
/content/drive/MyDrive/dataset/clips/80.wav	الماری سجانی ہے	Male
/content/drive/MyDrive/dataset/clips/81.wav	 میں بہت خوش ہوں 	Female
/content/drive/MyDrive/dataset/clips/82.wav	مجھے خوشی ہو رہی ہے 	Female
/content/drive/MyDrive/dataset/clips/83.wav	میں بہت خوش قسمت ہوں 	Female
/content/drive/MyDrive/dataset/clips/84.wav	میں بہت مطمئن ہوں 	Female
/content/drive/MyDrive/dataset/clips/85.wav	میری یہ خوشی اب تک کی سب سے بڑی خوشی ہے 	Female
/content/drive/MyDrive/dataset/clips/86.wav	مجھے اپنی دوست بہت پسند ہیں	Female
/content/drive/MyDrive/dataset/clips/87.wav	 مجھے اپنا گاؤں بہت اچھا لگتا ہے 	Female
/content/drive/MyDrive/dataset/clips/88.wav	میں اپنے نئے کمرے میں بہت خوش ہوں 	Female
/content/drive/MyDrive/dataset/clips/89.wav	میں اپنے سفر کی خوشی میں اداس نہیں ہوں 	Female
/content/drive/MyDrive/dataset/clips/90.wav	یہ میری سب سے بڑی جیت ہے 	Female
/content/drive/MyDrive/dataset/clips/91.wav	امی بہت خوش ہے 	Female
/content/drive/MyDrive/dataset/clips/92.wav	میں تمہاری جیت میں خوش ہوں 	Female
/content/drive/MyDrive/dataset/clips/93.wav	کتنی پیاری خوشبو آ رہی ہے 	Female
/content/drive/MyDrive/dataset/clips/94.wav	میری خوش نصیبی ہے کہ آپ کا ساتھ ملا	Female
/content/drive/MyDrive/dataset/clips/95.wav	 کیا تم میرے ساتھ چلو گی	Female
/content/drive/MyDrive/dataset/clips/96.wav	 ہم مری جا رہے ہیں	Female
/content/drive/MyDrive/dataset/clips/97.wav	 مجھے بریانی پسند ہے	Female
/content/drive/MyDrive/dataset/clips/98.wav	 میری بہن کا بیٹا پیدا ہوا ہے 	Female
/content/drive/MyDrive/dataset/clips/99.wav	ممبر وہ مسکرایا ہے مجھے دیکھ کے 	Female
/content/drive/MyDrive/dataset/clips/100.wav	میں خوشی محسوس کر سکتا ہوں  	Female
/content/drive/MyDrive/dataset/clips/101.wav	لیکن وہ آپ کو پسند نہیں کرتے	Male
/content/drive/MyDrive/dataset/clips/102.wav	رات ہوگئی ہے اب جانا چاہیے 	Male
/content/drive/MyDrive/dataset/clips/103.wav	وہ آپ پر بھروسہ نہیں کرتے 	Male
/content/drive/MyDrive/dataset/clips/104.wav	نہیں میں پارٹیز میں نہیں جاتا 	Male
/content/drive/MyDrive/dataset/clips/105.wav	کیا تمہیں میرے ساتھ آ کر اچھا نہیں لگا	Male
/content/drive/MyDrive/dataset/clips/106.wav	وہ یہاں آخری بار آئے گا	Male
/content/drive/MyDrive/dataset/clips/107.wav	تمہارا رویہ اچھا نہیں تھا 	Male
/content/drive/MyDrive/dataset/clips/108.wav	وہ مجھے ڈانٹ رہی تھی	Male
/content/drive/MyDrive/dataset/clips/109.wav	ابو مجھے ذلیل کریں گے اور تمہیں کچھ نہیں کہیں گے	Male
/content/drive/MyDrive/dataset/clips/110.wav	ہم نہیں جائیں گے یہ نہ ہو تم کوئی اور مصیبت کھڑی کردو	Male
/content/drive/MyDrive/dataset/clips/111.wav	وہ نہیں جیتا اس لیے پریشان تھا 	Male
/content/drive/MyDrive/dataset/clips/112.wav	لیڈی ڈیانامر گئی ہے ہے	Male
/content/drive/MyDrive/dataset/clips/113.wav	اللہ حافظ کہنا واقعی مشکل ہے 	Male
/content/drive/MyDrive/dataset/clips/114.wav	مجھے اس بات سے بہت رونا آیا 	Male
/content/drive/MyDrive/dataset/clips/115.wav	تم تو ایسا نہیں کرنا چاہتے تھے 	Male
/content/drive/MyDrive/dataset/clips/116.wav	صبح اٹھنے سے میں اچھا محسوس نہیں کرتی 	Male
/content/drive/MyDrive/dataset/clips/117.wav	اب امتحان ہیں اسلئے میں پریشان ہوں 	Male
/content/drive/MyDrive/dataset/clips/118.wav	سچ بتاؤ ں تو سن کر اچھا نہیں لگا 	Male
/content/drive/MyDrive/dataset/clips/119.wav	ایسا کرنے سے کچھ حاصل نہیں ہوگا 	Male
/content/drive/MyDrive/dataset/clips/120.wav	تم واقعی اذیت میں ہو	Male
/content/drive/MyDrive/dataset/clips/121.wav	لگتا ہےوہاں حادثہ ہوا ہے 	Female
/content/drive/MyDrive/dataset/clips/122.wav	یہ تو بہت دور ہے 	Female
/content/drive/MyDrive/dataset/clips/123.wav	امی  کتنے دنوں سے بیمار ہیں	Female
/content/drive/MyDrive/dataset/clips/124.wav	اور وہ دل سے اتر گیا	Female
/content/drive/MyDrive/dataset/clips/125.wav	سب تمہارے جیسے نہیں ہیں	Female
/content/drive/MyDrive/dataset/clips/126.wav	میں بہت اداس ہوں 	Female
/content/drive/MyDrive/dataset/clips/127.wav	بھائی نے امی سے بدتمیزی کی ہے 	Female
/content/drive/MyDrive/dataset/clips/128.wav	دوبارہ ملاقات نہیں ہو گی	Female
/content/drive/MyDrive/dataset/clips/129.wav	مجھے گفتگو میں کچھ باتیں اچھی نہیں لگی	Female
/content/drive/MyDrive/dataset/clips/130.wav	مجھے اکثر سردی ہو جاتی ہے	Female
/content/drive/MyDrive/dataset/clips/131.wav	میری کوئی عزت نہیں کرتا 	Male
/content/drive/MyDrive/dataset/clips/132.wav	کسی نے کچھ نہیں کہا لیکن میں پھربھی اداس ہوں	Male
/content/drive/MyDrive/dataset/clips/133.wav	میں کل رات سے خوار ہو رہا ہوں	Male
/content/drive/MyDrive/dataset/clips/134.wav	مجھے بہت افسوس ہے	Male
/content/drive/MyDrive/dataset/clips/135.wav	تمہیں اس کو سپورٹ نہیں کرنا چاہیے تھا 	Male
/content/drive/MyDrive/dataset/clips/136.wav	میں اس حال میں تمہیں یہاں نہیں چھوڑ سکتا 	Male
/content/drive/MyDrive/dataset/clips/137.wav	ہم انہیں پاس نہیں رکھ سکتے	Male
/content/drive/MyDrive/dataset/clips/138.wav	تم نے تو کہا تھا ایسے مسائل نہیں ہوں گے 	Male
/content/drive/MyDrive/dataset/clips/139.wav	میرے لئے تمہارے بغیر رہنا بہت مشکل ہے	Male
/content/drive/MyDrive/dataset/clips/140.wav	مجھے بہت فکر ہے اپنے گھر والوں کی	Male
/content/drive/MyDrive/dataset/clips/141.wav	میری زندگی میں کچھ کمی ہے 	Female
/content/drive/MyDrive/dataset/clips/142.wav	میری آواز اداس ہے اور میرا چہرہ  زرد ہے 	Female
/content/drive/MyDrive/dataset/clips/143.wav	میں دکھی ہوں اور کسی سے بات نہیں کرنا چاہتا	Female
/content/drive/MyDrive/dataset/clips/144.wav	میں تنہا محسوس کر رہا ہوں 	Female
/content/drive/MyDrive/dataset/clips/145.wav	میری زندگی میں روشنی نہیں ہے 	Female
/content/drive/MyDrive/dataset/clips/146.wav	میں خود سے الگ اور دور ہو گیا ہوں 	Female
/content/drive/MyDrive/dataset/clips/147.wav	میں اندھیروں میں گھرا ہوا ہوں 	Female
/content/drive/MyDrive/dataset/clips/148.wav	میں کسی سے بات نہیں کرنا چاہتا	Female
/content/drive/MyDrive/dataset/clips/149.wav	دل کی امید توڑ دی ہے کسی نے 	Female
/content/drive/MyDrive/dataset/clips/150.wav	خود سےنفرت ہونے لگی ہے	Female
/content/drive/MyDrive/dataset/clips/151.wav	 ماں کے جانے کے بعد یہ بچہ رو رہا تھا	Male
/content/drive/MyDrive/dataset/clips/152.wav	 مجھے ابھی ایک افسوسناک خبر موصول ہوئی	Male
/content/drive/MyDrive/dataset/clips/153.wav	 تم میرے ساتھ ایسا کیسے کر سکتے ہو	Male
/content/drive/MyDrive/dataset/clips/154.wav	 میں بہت دکھی ہوں 	Male
/content/drive/MyDrive/dataset/clips/155.wav	میری قسمت بری ہے 	Male
/content/drive/MyDrive/dataset/clips/156.wav	آپ میرے یقین کیوں نہیں کرتے میں	Male
/content/drive/MyDrive/dataset/clips/157.wav	 اپنی جاب کو لے کر پریشان ہو 	Male
/content/drive/MyDrive/dataset/clips/158.wav	اس نے مجھے دھوکا دیا 	Male
/content/drive/MyDrive/dataset/clips/159.wav	میرا پرس کھو گیا ہے 	Male
/content/drive/MyDrive/dataset/clips/160.wav	وہ میرا برتھ ڈے تک بھول گیا	Male
/content/drive/MyDrive/dataset/clips/161.wav	 میں سن رہا ہوں 	Female
/content/drive/MyDrive/dataset/clips/162.wav	پچھتاؤ گے تم	Female
/content/drive/MyDrive/dataset/clips/163.wav	میں شرمندہ ہوں 	Female
/content/drive/MyDrive/dataset/clips/164.wav	وقت ضائع مت کریں 	Female
/content/drive/MyDrive/dataset/clips/165.wav	میرا گلا خراب ہے 	Female
/content/drive/MyDrive/dataset/clips/166.wav	آجکل نوکری ملنا بہت مشکل ہے 	Female
/content/drive/MyDrive/dataset/clips/167.wav	وہ مجھ سے دور چلی گئی ہے	Female
/content/drive/MyDrive/dataset/clips/168.wav	 میرے بہت کم نمبر آئے 	Female
/content/drive/MyDrive/dataset/clips/169.wav	میں نے آج رات کا کھانا نہیں کھایا 	Female
/content/drive/MyDrive/dataset/clips/170.wav	میں سب پر بوجھ ہوں 	Female
/content/drive/MyDrive/dataset/clips/171.wav	اسے دیکھ کر مجھے اپنے بھائی کی یاد آگئی	Male
/content/drive/MyDrive/dataset/clips/172.wav	 اس پر صد افسوس	Male
/content/drive/MyDrive/dataset/clips/173.wav	 اس کے ہاتھوں کی لوگوں نے دکھ اٹھایا	Male
/content/drive/MyDrive/dataset/clips/174.wav	 کیا دشمنی ہے تم کو مجھ سے	Male
/content/drive/MyDrive/dataset/clips/175.wav	 مجھے کیا صلہ ملا 	Male
/content/drive/MyDrive/dataset/clips/176.wav	اس کی مجھ سے بات چیت نہیں ہے	Male
/content/drive/MyDrive/dataset/clips/177.wav	 اچھائی کا زمانہ ہی نہیں ہے 	Male
/content/drive/MyDrive/dataset/clips/178.wav	اس وقت ہر کوئی خود غرض ہے 	Male
/content/drive/MyDrive/dataset/clips/179.wav	تم اس کے خلاف کیوں ہو 	Male
/content/drive/MyDrive/dataset/clips/180.wav	اس نے میرا وقت برباد کیا	Male
/content/drive/MyDrive/dataset/clips/181.wav	 مجھے دکھ ہو رہا ہے 	Female
/content/drive/MyDrive/dataset/clips/182.wav	مجھے یہ امید نہیں تھی کہ میں فیل ہو جاؤں گا	Female
/content/drive/MyDrive/dataset/clips/183.wav	 میرے سارے رشتہ دار گاؤں میں ہیں 	Female
/content/drive/MyDrive/dataset/clips/184.wav	میرا خواب تھا اس گاڑی کو حاصل کرنا 	Female
/content/drive/MyDrive/dataset/clips/185.wav	میں اپنے حالات سے بہت ناراض ہوں	Female
/content/drive/MyDrive/dataset/clips/186.wav	 میں اندر سے بہت ٹوٹ چکا ہوں 	Female
/content/drive/MyDrive/dataset/clips/187.wav	میرا نصیب بہت برا ہے 	Female
/content/drive/MyDrive/dataset/clips/188.wav	اتنا خاص موقع برباد ہو گیا	Female
/content/drive/MyDrive/dataset/clips/189.wav	 ہماری دوستی کا اختتام ہوا 	Female
/content/drive/MyDrive/dataset/clips/190.wav	میں نے ایسا تو نہ چاہا تھا 	Female
/content/drive/MyDrive/dataset/clips/191.wav	میری زندگی میں کوئی خوشی نہیں ہے	Female
/content/drive/MyDrive/dataset/clips/192.wav	 میری آنکھوں میں آنسو آگئے 	Female
/content/drive/MyDrive/dataset/clips/193.wav	میں بے بس ہوں 	Female
/content/drive/MyDrive/dataset/clips/194.wav	تم نے میرا دل دکھایا	Female
/content/drive/MyDrive/dataset/clips/195.wav	 میں تنہا ہوں 	Female
/content/drive/MyDrive/dataset/clips/196.wav	میری آنکھیں نم ہے 	Female
/content/drive/MyDrive/dataset/clips/197.wav	ساری مصیبت ہمیشہ مجھ پر ہی کیوں آتی ہے 	Female
/content/drive/MyDrive/dataset/clips/198.wav	میری زندگی میں کوئی رونق نہیں ہے 	Female
/content/drive/MyDrive/dataset/clips/199.wav	اس خوشی کے موقع پر کاش وہ میرے ساتھ ہوتا 	Female
/content/drive/MyDrive/dataset/clips/200.wav	ان سب نے مجھے اکیلا چھوڑ دیا ہے	Female
/content/drive/MyDrive/dataset/clips/201.wav	تمہیں اسے یہاں نہیں لانا چاہیے تھا	Male
/content/drive/MyDrive/dataset/clips/202.wav	ایک بار بات سمجھ کیوں نہیں آتی تمہیں 	Male
/content/drive/MyDrive/dataset/clips/203.wav	اس کے بعد اکیلے آنے کی ضرورت نہیں ہے	Male
/content/drive/MyDrive/dataset/clips/204.wav	گاڑی آرام سے چلاؤ	Male
/content/drive/MyDrive/dataset/clips/205.wav	اب اتنی وفاداری دکھانے کی ضرورت نہیں ہے 	Male
/content/drive/MyDrive/dataset/clips/206.wav	تمہاری وجہ سے ابو ناراض ہوگئے 	Male
/content/drive/MyDrive/dataset/clips/207.wav	میں اسلام آباد میں نہیں رہ سکتی	Male
/content/drive/MyDrive/dataset/clips/208.wav	بعض دفع ہو سکتا ہے سالوں میں بھی نہ آؤں 	Male
/content/drive/MyDrive/dataset/clips/209.wav	مجھے تمہاری کافی کی ضرورت نہیں ہے	Male
/content/drive/MyDrive/dataset/clips/210.wav	وہ وہاں اکیلے نہیں ہیں تم اپنا کام کرو 	Male
/content/drive/MyDrive/dataset/clips/211.wav	مجھے بہت الجھن ہوتی ہے اس کے ساتھ نہیں رہ سکتا 	Male
/content/drive/MyDrive/dataset/clips/212.wav	مجھے کوئی بات نہیں کرنی	Male
/content/drive/MyDrive/dataset/clips/213.wav	یہ تمہارا مسئلہ نہیں ہے 	Male
/content/drive/MyDrive/dataset/clips/214.wav	اپنے کام سے کام رکھو	Male
/content/drive/MyDrive/dataset/clips/215.wav	تم ذرا صبر کرو 	Male
/content/drive/MyDrive/dataset/clips/216.wav	اس کی ہمت کیسے ہوئی	Male
/content/drive/MyDrive/dataset/clips/217.wav	میں تنگ آگیا ہوں 	Male
/content/drive/MyDrive/dataset/clips/218.wav	میں واقعی کسی کی مدد نہیں چاہتا 	Male
/content/drive/MyDrive/dataset/clips/219.wav	مجھے بتانے کی ضرورت نہیں ہے	Male
/content/drive/MyDrive/dataset/clips/220.wav	میں تمہاری ہڈیاں یا توڑ دوں گا	Male
/content/drive/MyDrive/dataset/clips/221.wav	میری نقل مت اتارو	Female
/content/drive/MyDrive/dataset/clips/222.wav	تم ان سب جیسے ہی ہو	Female
/content/drive/MyDrive/dataset/clips/223.wav	مجھے یہ باتیں سننے میں دلچسپی نہیں ہے 	Female
/content/drive/MyDrive/dataset/clips/224.wav	مجھے انتظار سے نفرت ہے 	Female
/content/drive/MyDrive/dataset/clips/225.wav	تم ہمیشہ جھوٹ بولتے ہو 	Female
/content/drive/MyDrive/dataset/clips/226.wav	تمہاری ہمت کیسے ہوئی یہ سب کہنے کی 	Female
/content/drive/MyDrive/dataset/clips/227.wav	جاؤ اور پکا پکایا کھانا لاؤ	Female
/content/drive/MyDrive/dataset/clips/228.wav	کمرہ  ہرحال میں صاف ہونا چاہیے	Female
/content/drive/MyDrive/dataset/clips/229.wav	وجہ کوئی بھی ہوتم نے غلط کیا 	Female
/content/drive/MyDrive/dataset/clips/230.wav	کارکا لاک کیوں نہیں بند کیا تھا	Female
/content/drive/MyDrive/dataset/clips/231.wav	تم مجھے غصہ دلا رہی ہو	Male
/content/drive/MyDrive/dataset/clips/232.wav	میں ناراض ہوں تم سے 	Male
/content/drive/MyDrive/dataset/clips/233.wav	تمہاری باتوں سے مجھے تکلیف ہو رہی ہے 	Male
